2025-05-16 11:11:18 - INFO - Logging is set up.
2025-05-16 11:11:18 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 5, 'num_classes': 2, 'learning_rate': 0.001, 'dataset_path': './datasets/LA', 'log_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_V12/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_V12/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/LA_16_SemiSupervised_V12/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 16, 'training_unlabel_num': 64, 'label_bs': 1, 'unlabel_bs': 4, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-05-16 11:11:20 - INFO - 使用 2 个GPU
2025-05-16 11:11:20 - INFO - 模型总参数: 87,461,859
2025-05-16 11:11:20 - INFO - 可训练参数: 87,461,859
2025-05-16 11:11:37 - INFO - Epoch 1/1000, Loss: 0.9972, Dice: 0.9905, MSE: 0.0223
2025-05-16 11:11:51 - INFO - Epoch 2/1000, Loss: 0.8456, Dice: 0.8390, MSE: 0.0222
2025-05-16 11:12:05 - INFO - Epoch 3/1000, Loss: 0.7687, Dice: 0.7607, MSE: 0.0268
2025-05-16 11:12:19 - INFO - Epoch 4/1000, Loss: 0.7674, Dice: 0.7578, MSE: 0.0320
2025-05-16 11:12:34 - INFO - Epoch 5/1000, Loss: 0.7532, Dice: 0.7432, MSE: 0.0334
2025-05-16 11:12:48 - INFO - Epoch 6/1000, Loss: 0.7317, Dice: 0.7227, MSE: 0.0297
2025-05-16 11:13:02 - INFO - Epoch 7/1000, Loss: 0.6613, Dice: 0.6544, MSE: 0.0232
2025-05-16 11:13:16 - INFO - Epoch 8/1000, Loss: 0.6123, Dice: 0.6036, MSE: 0.0292
2025-05-16 11:13:31 - INFO - Epoch 9/1000, Loss: 0.5950, Dice: 0.5868, MSE: 0.0273
2025-05-16 11:13:45 - INFO - Epoch 10/1000, Loss: 0.5798, Dice: 0.5698, MSE: 0.0333
2025-05-16 11:13:59 - INFO - Epoch 11/1000, Loss: 0.5633, Dice: 0.5498, MSE: 0.0449
2025-05-16 11:14:13 - INFO - Epoch 12/1000, Loss: 0.5800, Dice: 0.5679, MSE: 0.0403
2025-05-16 11:14:27 - INFO - Epoch 13/1000, Loss: 0.5489, Dice: 0.5365, MSE: 0.0415
2025-05-16 11:14:41 - INFO - Epoch 14/1000, Loss: 0.5201, Dice: 0.5094, MSE: 0.0358
2025-05-16 11:14:55 - INFO - Epoch 15/1000, Loss: 0.4628, Dice: 0.4488, MSE: 0.0466
2025-05-16 11:15:09 - INFO - Epoch 16/1000, Loss: 0.5039, Dice: 0.4903, MSE: 0.0456
