2025-07-09 23:09:56 - INFO - Logging is set up.
2025-07-09 23:09:56 - INFO - 训练配置参数:
{'seed': 42, 'epochs': 1000, 'batch_size': 2, 'num_classes': 16, 'learning_rate': 0.001, 'dataset_path': './datasets/Amos', 'log_path': './result/SAM3D_VNet_SSL/Amos_90_SemiSupervised_V15/Training.log', 'pth_path': './result/SAM3D_VNet_SSL/Amos_90_SemiSupervised_V15/Pth', 'tensorboard_path': './result/SAM3D_VNet_SSL/Amos_90_SemiSupervised_V15/Train', 'continue_train': False, 'multi_gpu': True, 'training_label_num': 90, 'training_unlabel_num': 90, 'label_bs': 1, 'unlabel_bs': 1, 'consistency_weight': 0.3, 'pretrained_weights': None}
2025-07-09 23:10:12 - INFO - 数据集加载完成，样本总数: 180
2025-07-09 23:10:13 - INFO - 使用 2 个GPU
2025-07-09 23:10:13 - INFO - 模型总参数: 167,640,398
2025-07-09 23:10:13 - INFO - 可训练参数: 167,640,398
2025-07-09 23:13:22 - INFO - Epoch 1/1000, Loss: 2.3769, Dice: 2.3759, MSE: 0.0034
2025-07-09 23:16:30 - INFO - Epoch 2/1000, Loss: 1.6113, Dice: 1.6057, MSE: 0.0186
2025-07-09 23:19:38 - INFO - Epoch 3/1000, Loss: 1.4017, Dice: 1.3923, MSE: 0.0316
2025-07-09 23:22:46 - INFO - Epoch 4/1000, Loss: 1.3313, Dice: 1.3208, MSE: 0.0352
2025-07-09 23:25:55 - INFO - Epoch 5/1000, Loss: 1.2950, Dice: 1.2846, MSE: 0.0345
2025-07-09 23:29:03 - INFO - Epoch 6/1000, Loss: 1.2579, Dice: 1.2475, MSE: 0.0345
2025-07-09 23:32:11 - INFO - Epoch 7/1000, Loss: 1.2225, Dice: 1.2123, MSE: 0.0341
2025-07-09 23:35:20 - INFO - Epoch 8/1000, Loss: 1.2086, Dice: 1.1989, MSE: 0.0326
2025-07-09 23:38:29 - INFO - Epoch 9/1000, Loss: 1.1725, Dice: 1.1628, MSE: 0.0323
2025-07-09 23:41:37 - INFO - Epoch 10/1000, Loss: 1.1586, Dice: 1.1493, MSE: 0.0309
2025-07-09 23:44:46 - INFO - Epoch 11/1000, Loss: 1.1370, Dice: 1.1278, MSE: 0.0306
2025-07-09 23:47:54 - INFO - Epoch 12/1000, Loss: 1.0942, Dice: 1.0851, MSE: 0.0303
2025-07-09 23:51:03 - INFO - Epoch 13/1000, Loss: 1.0823, Dice: 1.0732, MSE: 0.0305
2025-07-09 23:54:12 - INFO - Epoch 14/1000, Loss: 1.0581, Dice: 1.0492, MSE: 0.0299
2025-07-09 23:57:21 - INFO - Epoch 15/1000, Loss: 1.0093, Dice: 1.0003, MSE: 0.0298
2025-07-10 00:00:29 - INFO - Epoch 16/1000, Loss: 0.9880, Dice: 0.9791, MSE: 0.0298
2025-07-10 00:03:38 - INFO - Epoch 17/1000, Loss: 0.9689, Dice: 0.9600, MSE: 0.0295
2025-07-10 00:06:47 - INFO - Epoch 18/1000, Loss: 0.9719, Dice: 0.9631, MSE: 0.0293
2025-07-10 00:09:55 - INFO - Epoch 19/1000, Loss: 0.9296, Dice: 0.9208, MSE: 0.0295
2025-07-10 00:13:04 - INFO - Epoch 20/1000, Loss: 0.9099, Dice: 0.9010, MSE: 0.0297
2025-07-10 00:13:06 - INFO - 模型已保存至: epoch_20.pth
2025-07-10 00:16:15 - INFO - Epoch 21/1000, Loss: 0.8852, Dice: 0.8764, MSE: 0.0292
2025-07-10 00:19:23 - INFO - Epoch 22/1000, Loss: 0.8588, Dice: 0.8500, MSE: 0.0296
2025-07-10 00:22:32 - INFO - Epoch 23/1000, Loss: 0.8686, Dice: 0.8598, MSE: 0.0293
2025-07-10 00:25:41 - INFO - Epoch 24/1000, Loss: 0.8320, Dice: 0.8233, MSE: 0.0292
2025-07-10 00:28:49 - INFO - Epoch 25/1000, Loss: 0.7883, Dice: 0.7794, MSE: 0.0295
2025-07-10 00:31:58 - INFO - Epoch 26/1000, Loss: 0.7781, Dice: 0.7693, MSE: 0.0293
2025-07-10 00:35:07 - INFO - Epoch 27/1000, Loss: 0.7580, Dice: 0.7492, MSE: 0.0294
2025-07-10 00:38:15 - INFO - Epoch 28/1000, Loss: 0.7331, Dice: 0.7243, MSE: 0.0295
2025-07-10 00:41:24 - INFO - Epoch 29/1000, Loss: 0.7378, Dice: 0.7290, MSE: 0.0292
2025-07-10 00:44:33 - INFO - Epoch 30/1000, Loss: 0.7124, Dice: 0.7036, MSE: 0.0294
2025-07-10 00:47:41 - INFO - Epoch 31/1000, Loss: 0.7020, Dice: 0.6932, MSE: 0.0293
2025-07-10 00:50:50 - INFO - Epoch 32/1000, Loss: 0.6653, Dice: 0.6576, MSE: 0.0256
2025-07-10 00:53:58 - INFO - Epoch 33/1000, Loss: 0.6533, Dice: 0.6478, MSE: 0.0183
2025-07-10 00:57:07 - INFO - Epoch 34/1000, Loss: 0.6681, Dice: 0.6629, MSE: 0.0172
2025-07-10 01:00:16 - INFO - Epoch 35/1000, Loss: 0.6219, Dice: 0.6168, MSE: 0.0168
2025-07-10 01:03:24 - INFO - Epoch 36/1000, Loss: 0.6164, Dice: 0.6114, MSE: 0.0165
2025-07-10 01:06:33 - INFO - Epoch 37/1000, Loss: 0.6221, Dice: 0.6172, MSE: 0.0163
2025-07-10 01:09:42 - INFO - Epoch 38/1000, Loss: 0.5925, Dice: 0.5877, MSE: 0.0161
2025-07-10 01:12:51 - INFO - Epoch 39/1000, Loss: 0.6100, Dice: 0.6052, MSE: 0.0159
2025-07-10 01:15:59 - INFO - Epoch 40/1000, Loss: 0.5807, Dice: 0.5759, MSE: 0.0159
2025-07-10 01:16:02 - INFO - 模型已保存至: epoch_40.pth
2025-07-10 01:19:10 - INFO - Epoch 41/1000, Loss: 0.5606, Dice: 0.5559, MSE: 0.0158
2025-07-10 01:22:19 - INFO - Epoch 42/1000, Loss: 0.5799, Dice: 0.5752, MSE: 0.0156
2025-07-10 01:25:28 - INFO - Epoch 43/1000, Loss: 0.5638, Dice: 0.5591, MSE: 0.0157
2025-07-10 01:28:36 - INFO - Epoch 44/1000, Loss: 0.5686, Dice: 0.5639, MSE: 0.0156
2025-07-10 01:31:45 - INFO - Epoch 45/1000, Loss: 0.5399, Dice: 0.5352, MSE: 0.0156
2025-07-10 01:34:54 - INFO - Epoch 46/1000, Loss: 0.5642, Dice: 0.5596, MSE: 0.0155
2025-07-10 01:38:02 - INFO - Epoch 47/1000, Loss: 0.5316, Dice: 0.5270, MSE: 0.0154
2025-07-10 01:41:11 - INFO - Epoch 48/1000, Loss: 0.5370, Dice: 0.5324, MSE: 0.0155
2025-07-10 01:44:20 - INFO - Epoch 49/1000, Loss: 0.5199, Dice: 0.5153, MSE: 0.0154
2025-07-10 01:47:29 - INFO - Epoch 50/1000, Loss: 0.5388, Dice: 0.5342, MSE: 0.0154
2025-07-10 01:50:37 - INFO - Epoch 51/1000, Loss: 0.5158, Dice: 0.5112, MSE: 0.0154
2025-07-10 01:53:46 - INFO - Epoch 52/1000, Loss: 0.5136, Dice: 0.5090, MSE: 0.0154
2025-07-10 01:56:55 - INFO - Epoch 53/1000, Loss: 0.5106, Dice: 0.5060, MSE: 0.0154
2025-07-10 02:00:04 - INFO - Epoch 54/1000, Loss: 0.5160, Dice: 0.5113, MSE: 0.0154
2025-07-10 02:03:12 - INFO - Epoch 55/1000, Loss: 0.5134, Dice: 0.5088, MSE: 0.0154
2025-07-10 02:06:21 - INFO - Epoch 56/1000, Loss: 0.4974, Dice: 0.4928, MSE: 0.0153
2025-07-10 02:09:30 - INFO - Epoch 57/1000, Loss: 0.5036, Dice: 0.4990, MSE: 0.0153
2025-07-10 02:12:39 - INFO - Epoch 58/1000, Loss: 0.4834, Dice: 0.4788, MSE: 0.0154
2025-07-10 02:15:47 - INFO - Epoch 59/1000, Loss: 0.5046, Dice: 0.5000, MSE: 0.0153
2025-07-10 02:18:56 - INFO - Epoch 60/1000, Loss: 0.5078, Dice: 0.5032, MSE: 0.0153
2025-07-10 02:18:58 - INFO - 模型已保存至: epoch_60.pth
2025-07-10 02:22:07 - INFO - Epoch 61/1000, Loss: 0.4661, Dice: 0.4615, MSE: 0.0154
2025-07-10 02:25:16 - INFO - Epoch 62/1000, Loss: 0.4906, Dice: 0.4861, MSE: 0.0153
2025-07-10 02:28:25 - INFO - Epoch 63/1000, Loss: 0.4707, Dice: 0.4661, MSE: 0.0153
2025-07-10 02:31:33 - INFO - Epoch 64/1000, Loss: 0.4572, Dice: 0.4526, MSE: 0.0153
2025-07-10 02:34:42 - INFO - Epoch 65/1000, Loss: 0.4572, Dice: 0.4526, MSE: 0.0153
2025-07-10 02:37:51 - INFO - Epoch 66/1000, Loss: 0.4923, Dice: 0.4877, MSE: 0.0153
2025-07-10 02:40:59 - INFO - Epoch 67/1000, Loss: 0.4887, Dice: 0.4841, MSE: 0.0152
2025-07-10 02:44:08 - INFO - Epoch 68/1000, Loss: 0.4506, Dice: 0.4461, MSE: 0.0152
2025-07-10 02:47:17 - INFO - Epoch 69/1000, Loss: 0.4526, Dice: 0.4480, MSE: 0.0154
2025-07-10 02:50:26 - INFO - Epoch 70/1000, Loss: 0.4616, Dice: 0.4570, MSE: 0.0153
2025-07-10 02:53:34 - INFO - Epoch 71/1000, Loss: 0.4712, Dice: 0.4666, MSE: 0.0153
2025-07-10 02:56:43 - INFO - Epoch 72/1000, Loss: 0.4506, Dice: 0.4460, MSE: 0.0153
2025-07-10 02:59:52 - INFO - Epoch 73/1000, Loss: 0.4379, Dice: 0.4333, MSE: 0.0153
2025-07-10 03:03:00 - INFO - Epoch 74/1000, Loss: 0.4420, Dice: 0.4374, MSE: 0.0153
2025-07-10 03:06:09 - INFO - Epoch 75/1000, Loss: 0.4518, Dice: 0.4473, MSE: 0.0153
2025-07-10 03:09:18 - INFO - Epoch 76/1000, Loss: 0.4429, Dice: 0.4383, MSE: 0.0152
2025-07-10 03:12:26 - INFO - Epoch 77/1000, Loss: 0.4342, Dice: 0.4297, MSE: 0.0153
2025-07-10 03:15:35 - INFO - Epoch 78/1000, Loss: 0.4596, Dice: 0.4550, MSE: 0.0153
2025-07-10 03:18:43 - INFO - Epoch 79/1000, Loss: 0.4354, Dice: 0.4308, MSE: 0.0153
2025-07-10 03:21:52 - INFO - Epoch 80/1000, Loss: 0.4135, Dice: 0.4089, MSE: 0.0152
2025-07-10 03:21:54 - INFO - 模型已保存至: epoch_80.pth
2025-07-10 03:25:03 - INFO - Epoch 81/1000, Loss: 0.4291, Dice: 0.4245, MSE: 0.0153
2025-07-10 03:28:11 - INFO - Epoch 82/1000, Loss: 0.4336, Dice: 0.4290, MSE: 0.0152
2025-07-10 03:31:20 - INFO - Epoch 83/1000, Loss: 0.4108, Dice: 0.4062, MSE: 0.0153
2025-07-10 03:34:28 - INFO - Epoch 84/1000, Loss: 0.4172, Dice: 0.4126, MSE: 0.0153
2025-07-10 03:37:37 - INFO - Epoch 85/1000, Loss: 0.4178, Dice: 0.4132, MSE: 0.0153
